marca,familia,modelo,chasis,norma_euro,origen,version_pauta,perfil_operacion,metrica,unidad,evento_secuencia,servicio_codigo,servicio_nombre,valor_acumulado,intervalo_incremental,tiempo_trabajo_h,ciclo_mantenimiento,tolerancia_dias,tolerancia_km,tolerancia_pct,intervalo_max_meses,requiere_aceite_mineral
Mercedes-Benz,Actros,Actros WDB 930/932/934,"WDB 930, 932, 934",Euro IV-V,Aleman (Europa),1.6 (Nov 2019),carretero,km,km,1,SI,Servicio Inicial,5000,5000,1.2,"SI, luego ciclo repetido: SM1, SM2, SM1, SM3, SM1, SM2, SM1, SM4 (con SL* intercalado solo en motores con aceite mineral)",90,,10,12,False
Mercedes-Benz,Actros,Actros WDB 930/932/934,"WDB 930, 932, 934",Euro IV-V,Aleman (Europa),1.6 (Nov 2019),carretero,km,km,2,SL*,Servicio de Lubricacion (solo aceite mineral),25000,20000,2.7,"SI, luego ciclo repetido: SM1, SM2, SM1, SM3, SM1, SM2, SM1, SM4 (con SL* intercalado solo en motores con aceite mineral)",90,,10,12,True
Mercedes-Benz,Actros,Actros WDB 930/932/934,"WDB 930, 932, 934",Euro IV-V,Aleman (Europa),1.6 (Nov 2019),carretero,km,km,3,SM1,Servicio de Mantenimiento 1,50000,25000,4.2,"SI, luego ciclo repetido: SM1, SM2, SM1, SM3, SM1, SM2, SM1, SM4 (con SL* intercalado solo en motores con aceite mineral)",90,,10,12,False
Mercedes-Benz,Actros,Actros WDB 930/932/934,"WDB 930, 932, 934",Euro IV-V,Aleman (Europa),1.6 (Nov 2019),carretero,km,km,4,SL*,Servicio de Lubricacion (solo aceite mineral),75000,25000,2.7,"SI, luego ciclo repetido: SM1, SM2, SM1, SM3, SM1, SM2, SM1, SM4 (con SL* intercalado solo en motores con aceite mineral)",90,,10,12,True
Mercedes-Benz,Actros,Actros WDB 930/932/934,"WDB 930, 932, 934",Euro IV-V,Aleman (Europa),1.6 (Nov 2019),carretero,km,km,5,SM2,Servicio de Mantenimiento 2,100000,25000,6.4,"SI, luego ciclo repetido: SM1, SM2, SM1, SM3, SM1, SM2, SM1, SM4 (con SL* intercalado solo en motores con aceite mineral)",90,,10,12,False
Mercedes-Benz,Actros,Actros WDB 930/932/934,"WDB 930, 932, 934",Euro IV-V,Aleman (Europa),1.6 (Nov 2019),carretero,km,km,6,SL*,Servicio de Lubricacion (solo aceite mineral),125000,25000,2.7,"SI, luego ciclo repetido: SM1, SM2, SM1, SM3, SM1, SM2, SM1, SM4 (con SL* intercalado solo en motores con aceite mineral)",90,,10,12,True
Mercedes-Benz,Actros,Actros WDB 930/932/934,"WDB 930, 932, 934",Euro IV-V,Aleman (Europa),1.6 (Nov 2019),carretero,km,km,7,SM1,Servicio de Mantenimiento 1,150000,25000,4.2,"SI, luego ciclo repetido: SM1, SM2, SM1, SM3, SM1, SM2, SM1, SM4 (con SL* intercalado solo en motores con aceite mineral)",90,,10,12,False
Mercedes-Benz,Actros,Actros WDB 930/932/934,"WDB 930, 932, 934",Euro IV-V,Aleman (Europa),1.6 (Nov 2019),carretero,km,km,8,SL*,Servicio de Lubricacion (solo aceite mineral),175000,25000,2.7,"SI, luego ciclo repetido: SM1, SM2, SM1, SM3, SM1, SM2, SM1, SM4 (con SL* intercalado solo en motores con aceite mineral)",90,,10,12,True
Mercedes-Benz,Actros,Actros WDB 930/932/934,"WDB 930, 932, 934",Euro IV-V,Aleman (Europa),1.6 (Nov 2019),carretero,km,km,9,SM3,Servicio de Mantenimiento 3,200000,25000,10.8,"SI, luego ciclo repetido: SM1, SM2, SM1, SM3, SM1, SM2, SM1, SM4 (con SL* intercalado solo en motores con aceite mineral)",90,,10,12,False
Mercedes-Benz,Actros,Actros WDB 930/932/934,"WDB 930, 932, 934",Euro IV-V,Aleman (Europa),1.6 (Nov 2019),carretero,km,km,10,SL*,Servicio de Lubricacion (solo aceite mineral),225000,25000,2.7,"SI, luego ciclo repetido: SM1, SM2, SM1, SM3, SM1, SM2, SM1, SM4 (con SL* intercalado solo en motores con aceite mineral)",90,,10,12,True
Mercedes-Benz,Actros,Actros WDB 930/932/934,"WDB 930, 932, 934",Euro IV-V,Aleman (Europa),1.6 (Nov 2019),carretero,km,km,11,SM1,Servicio de Mantenimiento 1,250000,25000,4.2,"SI, luego ciclo repetido: SM1, SM2, SM1, SM3, SM1, SM2, SM1, SM4 (con SL* intercalado solo en motores con aceite mineral)",90,,10,12,False
Mercedes-Benz,Actros,Actros WDB 930/932/934,"WDB 930, 932, 934",Euro IV-V,Aleman (Europa),1.6 (Nov 2019),carretero,km,km,12,SL*,Servicio de Lubricacion (solo aceite mineral),275000,25000,2.7,"SI, luego ciclo repetido: SM1, SM2, SM1, SM3, SM1, SM2, SM1, SM4 (con SL* intercalado solo en motores con aceite mineral)",90,,10,12,True
Mercedes-Benz,Actros,Actros WDB 930/932/934,"WDB 930, 932, 934",Euro IV-V,Aleman (Europa),1.6 (Nov 2019),carretero,km,km,13,SM2,Servicio de Mantenimiento 2,300000,25000,6.4,"SI, luego ciclo repetido: SM1, SM2, SM1, SM3, SM1, SM2, SM1, SM4 (con SL* intercalado solo en motores con aceite mineral)",90,,10,12,False
Mercedes-Benz,Actros,Actros WDB 930/932/934,"WDB 930, 932, 934",Euro IV-V,Aleman (Europa),1.6 (Nov 2019),carretero,km,km,14,SL*,Servicio de Lubricacion (solo aceite mineral),325000,25000,2.7,"SI, luego ciclo repetido: SM1, SM2, SM1, SM3, SM1, SM2, SM1, SM4 (con SL* intercalado solo en motores con aceite mineral)",90,,10,12,True
Mercedes-Benz,Actros,Actros WDB 930/932/934,"WDB 930, 932, 934",Euro IV-V,Aleman (Europa),1.6 (Nov 2019),carretero,km,km,15,SM1,Servicio de Mantenimiento 1,350000,25000,4.2,"SI, luego ciclo repetido: SM1, SM2, SM1, SM3, SM1, SM2, SM1, SM4 (con SL* intercalado solo en motores con aceite mineral)",90,,10,12,False
Mercedes-Benz,Actros,Actros WDB 930/932/934,"WDB 930, 932, 934",Euro IV-V,Aleman (Europa),1.6 (Nov 2019),carretero,km,km,16,SL*,Servicio de Lubricacion (solo aceite mineral),375000,25000,2.7,"SI, luego ciclo repetido: SM1, SM2, SM1, SM3, SM1, SM2, SM1, SM4 (con SL* intercalado solo en motores con aceite mineral)",90,,10,12,True
Mercedes-Benz,Actros,Actros WDB 930/932/934,"WDB 930, 932, 934",Euro IV-V,Aleman (Europa),1.6 (Nov 2019),carretero,km,km,17,SM4,Servicio de Mantenimiento 4,400000,25000,12.6,"SI, luego ciclo repetido: SM1, SM2, SM1, SM3, SM1, SM2, SM1, SM4 (con SL* intercalado solo en motores con aceite mineral)",90,,10,12,False
Mercedes-Benz,Actros,Actros WDB 930/932/934,"WDB 930, 932, 934",Euro IV-V,Aleman (Europa),1.6 (Nov 2019),carretero,km,km,18,SL*,Servicio de Lubricacion (solo aceite mineral),425000,25000,2.7,"SI, luego ciclo repetido: SM1, SM2, SM1, SM3, SM1, SM2, SM1, SM4 (con SL* intercalado solo en motores con aceite mineral)",90,,10,12,True
Mercedes-Benz,Actros,Actros WDB 930/932/934,"WDB 930, 932, 934",Euro IV-V,Aleman (Europa),1.6 (Nov 2019),carretero,km,km,19,SM1,Servicio de Mantenimiento 1,450000,25000,4.2,"SI, luego ciclo repetido: SM1, SM2, SM1, SM3, SM1, SM2, SM1, SM4 (con SL* intercalado solo en motores con aceite mineral)",90,,10,12,False
Mercedes-Benz,Actros,Actros WDB 930/932/934,"WDB 930, 932, 934",Euro IV-V,Aleman (Europa),1.6 (Nov 2019),carretero,km,km,20,SL*,Servicio de Lubricacion (solo aceite mineral),475000,25000,2.7,"SI, luego ciclo repetido: SM1, SM2, SM1, SM3, SM1, SM2, SM1, SM4 (con SL* intercalado solo en motores con aceite mineral)",90,,10,12,True
Mercedes-Benz,Actros,Actros WDB 930/932/934,"WDB 930, 932, 934",Euro IV-V,Aleman (Europa),1.6 (Nov 2019),carretero,km,km,21,SM2,Servicio de Mantenimiento 2,500000,25000,6.4,"SI, luego ciclo repetido: SM1, SM2, SM1, SM3, SM1, SM2, SM1, SM4 (con SL* intercalado solo en motores con aceite mineral)",90,,10,12,False
Mercedes-Benz,Actros,Actros WDB 930/932/934,"WDB 930, 932, 934",Euro IV-V,Aleman (Europa),1.6 (Nov 2019),carretero,km,km,22,SL*,Servicio de Lubricacion (solo aceite mineral),525000,25000,2.7,"SI, luego ciclo repetido: SM1, SM2, SM1, SM3, SM1, SM2, SM1, SM4 (con SL* intercalado solo en motores con aceite mineral)",90,,10,12,True
